,사고일시,사고월,사고시,사고요일,시간대,시군구,대분류,중분류,소분류,사고내용,사망자수,중상자수,경상자수,부상신고자수,법규위반,노면상태,기상상태,도로형태,가해운전자 성별,가해운전자 연령,주말,공휴일,휴일,부상자수,ECLO,교통안전지수,도로환경,주류 인허가 음식점,사고건수
3458,2022-08-11 23:00:00,8월,23시,목요일,밤,서울특별시 강서구 개화동,서울특별시,강서구,개화동,사망사고,1,2,0,0,신호위반,건조,흐림,기타 - 기타,남,39세,0,0,0,0,20,77.4,79.28,,2
3459,2022-08-12 00:00:00,8월,00시,금요일,새벽,서울특별시 마포구 서교동,서울특별시,마포구,서교동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,교차로 - 교차로안,남,38세,0,0,0,0,5,78.43,78.12,1871.0,1
3460,2022-08-12 01:00:00,8월,01시,금요일,새벽,서울특별시 강동구 길동,서울특별시,강동구,길동,경상사고,0,0,3,0,안전운전불이행,건조,기타,교차로 - 교차로부근,남,38세,0,0,0,0,9,80.62,82.21,594.0,1
3461,2022-08-12 03:00:00,8월,03시,금요일,새벽,서울특별시 서초구 반포동,서울특별시,서초구,반포동,경상사고,0,0,1,0,안전운전불이행,건조,맑음,교차로 - 교차로안,남,50세,0,0,0,0,3,77.61,77.98,755.0,2
3462,2022-08-12 07:00:00,8월,07시,금요일,출근,서울특별시 노원구 중계동,서울특별시,노원구,중계동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,단일로 - 기타,여,30세,0,0,0,0,5,79.46,81.04,537.0,1
3463,2022-08-13 01:00:00,8월,01시,토요일,새벽,서울특별시 강동구 둔촌동,서울특별시,강동구,둔촌동,중상사고,0,1,1,0,신호위반,건조,맑음,교차로 - 교차로부근,여,59세,1,0,1,0,8,80.62,82.21,186.0,2
3464,2022-08-13 03:00:00,8월,03시,토요일,새벽,서울특별시 서초구 반포동,서울특별시,서초구,반포동,경상사고,0,0,1,1,안전운전불이행,건조,맑음,교차로 - 교차로부근,남,48세,1,0,1,1,4,77.61,77.98,755.0,3
3465,2022-08-13 08:00:00,8월,08시,토요일,출근,서울특별시 서대문구 대신동,서울특별시,서대문구,대신동,부상신고사고,0,0,0,1,안전거리미확보,건조,맑음,단일로 - 기타,남,36세,1,0,1,1,1,80.35,80.89,31.0,1
3466,2022-08-13 11:00:00,8월,11시,토요일,낮,서울특별시 강북구 미아동,서울특별시,강북구,미아동,경상사고,0,0,1,0,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,여,59세,1,0,1,0,3,80.27,82.23,1356.0,1
3467,2022-08-13 16:00:00,8월,16시,토요일,낮,서울특별시 강동구 상일동,서울특별시,강동구,상일동,중상사고,0,1,1,0,차로위반,건조,맑음,단일로 - 기타,여,30세,1,0,1,0,8,80.62,82.21,174.0,1
3468,2022-08-13 18:00:00,8월,18시,토요일,퇴근,서울특별시 강동구 암사동,서울특별시,강동구,암사동,경상사고,0,0,1,0,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,남,40세,1,0,1,0,3,80.62,82.21,381.0,1
3469,2022-08-14 00:00:00,8월,00시,일요일,새벽,서울특별시 서대문구 홍제동,서울특별시,서대문구,홍제동,경상사고,0,0,3,0,안전운전불이행,건조,흐림,단일로 - 기타,남,61세,1,0,1,0,9,80.35,80.89,449.0,1
3470,2022-08-14 05:00:00,8월,05시,일요일,아침,서울특별시 영등포구 영등포동4가,서울특별시,영등포구,영등포동4가,경상사고,0,0,4,0,안전운전불이행,건조,맑음,단일로 - 기타,남,28세,1,0,1,0,12,70.74,73.22,165.0,1
3471,2022-08-14 06:00:00,8월,06시,일요일,아침,서울특별시 영등포구 양화동,서울특별시,영등포구,양화동,경상사고,0,0,1,0,안전운전불이행,건조,흐림,단일로 - 기타,남,26세,1,0,1,0,3,70.74,73.22,,1
3472,2022-08-14 21:00:00,8월,21시,일요일,밤,서울특별시 강서구 마곡동,서울특별시,강서구,마곡동,중상사고,0,1,1,0,안전운전불이행,건조,맑음,단일로 - 기타,남,56세,1,0,1,0,8,77.4,79.28,1478.0,2
3473,2022-08-15 02:00:00,8월,02시,월요일,새벽,서울특별시 관악구 신림동,서울특별시,관악구,신림동,중상사고,0,1,0,0,안전운전불이행,건조,맑음,단일로 - 기타,남,36세,0,1,1,0,5,79.22,82.52,2404.0,1
3474,2022-08-15 03:00:00,8월,03시,월요일,새벽,서울특별시 강남구 삼성동,서울특별시,강남구,삼성동,중상사고,0,1,1,0,안전운전불이행,기타,기타,단일로 - 기타,남,29세,0,1,1,0,8,71.06,65.21,1219.0,1
3475,2022-08-15 04:00:00,8월,04시,월요일,새벽,서울특별시 종로구 가회동,서울특별시,종로구,가회동,부상신고사고,0,0,0,1,안전운전불이행,건조,흐림,단일로 - 기타,남,33세,0,1,1,1,1,80.25,81.56,15.0,1
3476,2022-08-15 04:00:00,8월,04시,월요일,새벽,서울특별시 마포구 동교동,서울특별시,마포구,동교동,경상사고,0,0,1,0,중앙선침범,건조,맑음,단일로 - 기타,남,33세,0,1,1,0,3,78.43,78.12,600.0,1
